id	title	content 
3		给老婆过了一个简单的生日，happy birthday 。 
15		敢从上面滑下来么？ 
23		第一次冰钓 
39		如果有一天失业了～～那我还能混口饭吃 
109		 —— 儿 童 节 —— 国际儿童节定于每年的6月1日。为了悼念1942年6月10日的利迪策惨案 和全世界所有在战争中死难的儿童，反对虐杀和毒害儿童，以及保障儿童权利，它是为了保障世界各国儿童的 生存权 、保健权和 受教育权 ， 抚养权 ，为了改善儿童的生活，为了反对虐杀儿童和毒害儿童而设立的 节日 。目前世界上许多 国家 都将6月1日定为 儿童 的 节日 。 从1949年开始，中华人民共和国 正式定每年6月1日为国际儿童节。学校一般会为此组织相关的集体活动，并要求学生正式着装。 香港 虽属共和国一部份，但民间在约定俗成下，香港儿童节的日期与中国 台湾 的儿童节日期一样，即4月4日。民间庆祝的方式多以送玩具 礼物 给小朋友，或陪小孩出外吃大餐或游玩。 —— 庆 祝 —— 韩国的儿童节开始于1923年，是从“男孩节”演变过来的。这也是韩国的公众假日，定在每年的5月5日。家长们通常会在这一天带孩子去公园、动物园或者其他游乐设施，让孩子开心地度过假日。 日本的儿童节，叫做“儿童日”，是一个传统节日。在每年的5月5日，日本的家庭都会庆祝孩子的长大。二战前，这个节日被称为“端午节”，并且只是男孩的节日。在节日当天，日本的家庭都会在屋顶上悬挂鱼状的标志，用来象征儿童消除厄运，克服困难，顺利成长。 不过日本在3月3日还有单独的女孩节，从上巳节发展过来，女儿节以摆放各种玩偶来庆祝。男儿节悬挂鲤鱼旗是源自中国的“望子成龙”和“鲤鱼跳龙门”的传说。 大多数 伊斯兰 国家都将斋月后第14天定为“糖果节”，对孩子们来说，这也是最快乐的儿童节。“糖果节”一般为期三天，小朋友们三五成群，到附近的各家各户索要糖果。按照当地 民俗 ，大人们不能拒绝儿童的要求，所以孩子们这一天总是能满载而归，欢天喜地。 非洲西部的儿童节是疯狂的，他们的国家大都有专门的“儿童狂欢节”，而且往往持续一个月。非洲人历来能歌善舞，在“儿童狂欢节”里，尽管人们的生活条件各不相同，但所有孩子都会尽情欢乐，热闹非凡。 不过，比起上述国家的儿童，伊拉克的孩子们就可怜多了，当许多国家的小朋友在欢庆儿童节的时候，伊拉克儿童大多根本不知道世界上还有一个属于他们自己的节日。他们仍一如既往，或在学校上课，或在作坊打工，或沿街乞讨。 一些伊拉克人透露，在萨达姆执政的20多年里，6月1日被定为伊拉克的石油国有化日。每到这一天，伊拉克全国要举办各种庆祝活动，但与儿童无关，所以孩子们就没有过过儿童节。 在被忽略的儿童节里，伊拉克幼儿园、小学里没有任何节日气氛，自然也不会有庆祝活动。 图片来源网络 
155		 五月榴花妖艳烘，绿杨带雨垂垂重，五色新丝缠角粽。金盘送，生绡画扇盘双凤。 正是浴兰时节动，菖蒲酒美清尊共，叶里黄鹂时一弄。犹瞢忪，等闲惊破纱窗梦。 ——（宋）欧阳修《渔家傲·五月榴花妖艳烘》 端 午 节 端午节（Dragon Boat Festival）为每年农历五月初五，又称端阳节、午日节、五月节等。“端午节”为中国国家法定节假日之一，并已被列入世界非物质文化遗产名录。 端午节起源于中国，最初是中国人民祛病防疫的节日，吴越之地春秋之前有在农历五月初五以龙舟竞渡形式举行部落图腾祭祀的习俗；后因诗人屈原在这一天死去，便成了中国汉族人民纪念屈原的传统节日；部分地区也有纪念伍子胥、曹娥等说法。 习 俗 过端午节，是中国人二千多年来的传统习惯，由于地域广大，民族众多，加上许多故事传说，于是不仅产生了众多相异的节名，而且各地也有着不尽相同的习俗。其内容主要有：女儿回娘家，挂钟馗像，迎鬼船、躲午，帖午叶符，悬挂菖蒲、艾草，游百病，佩香囊，备牲醴,赛龙舟，比武，击球，荡秋千，给小孩涂雄黄，饮用雄黄酒、菖蒲酒，吃五毒饼、咸蛋、粽子和时令鲜果等。 挂草药 挂艾草、菖蒲、榕枝 艾、菖蒲和蒜被称为“端午三友”。南北朝时，端午又称为“沐兰节”，荆楚一带有采艾的习俗。采艾要在鸡未鸣以前就出发，挑选最具人形的艾草带回去挂在门上，有的还将艾草扎成虎形，再粘贴艾叶于其上。艾与菖蒲中含有芳香油，它们和蒜一样都有杀菌作用。古时，人们缺乏科学观念，误以为疾病皆由鬼邪作祟所至，于是，端午节这天，人们以菖蒲作宝剑，以艾作鞭子，以蒜头作锤子，又称为“三种武器”，认为可以退蛇、虫、病菌，斩除妖魔。 划龙舟 龙舟一词，最早见于先秦古书《穆天子传》卷五：“天子乘鸟舟、龙舟浮于大沼。”预《九歌·湘君》中“驾飞龙今北征，邅吾道兮洞庭”，“石濑浅浅，飞龙兮翩翩”，学者们也认为“飞龙”即龙舟。《湘君》即描写湘人驭驾龙舟，将玉佩沉入江中（与抛粽子入江相仿）悼念某位历史人物之诗。这即与“魂舟”暗合，与楚国《人物御龙帛画》之像暗合，可互为印证。《荆楚岁时记》载：“五月五日，谓之浴兰节。……是日，竞渡，竞采杂药。”。 在划龙船时，又多有唱歌助兴的龙船歌流传。如湖北秭归划龙船时，有完整的唱腔，词曲根据当地民歌与号子融汇而成，唱歌声雄浑壮美，扣人心弦，即“举揖而相和之”之遗风。又如广东南雄县的龙船歌，是在四月龙船下水后唱到端午时止，表现内容十分广泛。 饮 食 粽子 粽子古称“角黍”，传说是为祭投江的屈原而发明的，真正有文字记载的粽子见于晋周处的《风土记》；而流传有序，历史最悠久的粽子则是西安的蜂蜜凉粽子，载于唐韦巨源《食谱》。 “粽子香，香厨房。艾叶香，香满堂。桃枝插在大门上，出门一望麦儿黄。这儿端阳，那儿端阳，处处都端阳。”这是旧时流行甚广的一首描写过端午节的民谣。总体上说，各地人民过端午节的习俗大同小异，而端午节吃粽子，古往今来，中国各地都一样。 雄黄酒 端午饮雄黄酒的习俗，从前在长江流域地区极为盛行。古语曾说：“饮了雄黄酒，病魔都远走。”雄黄是一种矿物质，俗称“鸡冠石”，其主要成分是硫化砷，并含有汞，有毒。一般饮用的雄黄酒，只是在白酒或自酿的黄酒里加入微量雄黄而成，无纯饮的。雄黄酒有杀菌驱虫解五毒的功效，中医还用来治皮肤病。在没有碘酒之类消毒剂的古代，用雄黄泡酒，可以祛毒解痒。未到喝酒年龄的小孩子，大人则给他们的额头、耳鼻、手足心等处涂抹上雄黄酒，意在消毒防病，虫豸不叮。 故 事 三闾大夫屈原的传说 屈原是战国时期楚国贵族出身，任三闾大夫、左徒,兼管内政外交大事。他主张对内举贤能，修明法度，对外力主联齐抗秦。后因遭贵族排挤，被流放沅、湘流域。 公元前278年秦将白起一举攻破楚国首都郢都，并在夷陵（今宜昌）焚烧楚先王陵墓。忧国忧民的屈原在汨罗江怀石自杀，端午节据说就是他的忌日。人们划龙舟去打捞他的尸体，怕鱼虾咬食屈原就向江中投放糯米，后来人们为了纪念他就在这一天划龙舟。 图文来源网络 
159		 ‍ ‍ ‍ ‍ —— 父 亲 节 —— 父亲节， 顾名思义是感恩父亲的节日。 约始于二十世纪初， 起源于美国， 现已广泛流传于世界各地， 节日日期因地域而存在差异。 最广泛的日期在每年6月的第三个星期， 世界上有52个国家和地区是在这一天过父亲节。 节日里有各种的庆祝方式， 大部分都与赠送礼物、 家族聚餐或活动有关。 中国大陆官方没有设立正式的父亲节。 但内地民众习惯上使用6月第三个星期日当做父亲； 中国台湾父亲节是8月8日。 中国台湾的父亲节订于每年的八月八日， 又称为“ 八八节”。 这是因为“ 八八” 和爸爸相近， 而且“ 八八” 两字连缀起来， 又好象一个 “ 父”， 所以父亲节特别被定于八月八日。 —— 起 源 —— 父亲节是由约翰·布鲁斯·多德夫人倡议成立的。多德夫人早年丧母，她有5个弟弟，姐弟6人的生活负担全落到了父亲身上。父亲每天起早贪黑，无微不至地关心着孩子们的成长，自己则过着节衣缩食的节俭日子。多德长大以后，根据自己的切身体会，深感父亲这种自我牺牲的精神应该得到表彰。 做父亲的也应该像母亲们那样，有一个让全社会向他们表示敬意的节日。于是，她给华盛顿州政府写了一封言辞恳切的信，建议以她父亲的生日，每年的6月5日作为父亲节。州政府采纳了这一建议，但把节期改在每年6月的第三个星期日。1972年，在各方的强烈呼吁下，美国总统尼克松签署了建立父亲节的议会决议，使其成为全国性的节日。 —— 风 俗 习 惯 —— 在父亲节这天， 人们选择特定的鲜花来表示对父亲的敬意。 人们采纳了杜德夫人建议， 佩戴红玫瑰向健在的父亲们表示爱戴， 佩戴白玫瑰对故去的父亲表示悼念。 后来在温哥华， 人们选择了佩戴白丁香， 宾夕法尼亚人用蒲公英向父亲表示致意。 红色或白色玫瑰是公认的父亲节的节花。 父亲节在全美国作为节日确定下来， 比母亲节经过的时间要长一些。 因为建立父亲节的想法很得人心， 所以商人和制造商开始看到商机。 他们不仅鼓励做儿女的给父亲寄贺卡， 而且鼓动他们买领带、 袜子之类的小礼品送给父亲， 以表达对父亲的敬重。 另外， 在父亲节的那一顿早餐是由子女们做的， 父母早上不必早， 可以继续睡， 子女们做好早餐后拿到床前给父母亲用。 图片来源网络 ‍ ‍ ‍ ‍ 
163		 —— 建 军 节 —— 每年的八月一日是中国 人民解放军建军纪念日，因此也叫“ 八一 ”建军节。1933年7月11日， 中华苏维埃共和国临时中央政府 根据 中央革命军事委员会 6月30日的建议，决定8月1日为 中国工农红军 成立纪念日。1949年6月15日，中国人民革命军事委员会发布命令，以“八一”两字作为中国人民解放军军旗和军徽的主要标志。中华人民共和国成立后，将此纪念日改称为 中国人民解放军 建军节。 —— 诞 生 地 —— 1933年7月11日，中华苏维埃共和国临时中央政府决定将8月1日作为中国工农红军成立纪念日。从此，每年8月1日就成为中国工农红军和后来中国人民解放军的建军节。当年8月1日，在瑞金叶坪红军广场举行了历史上第一个“八一”纪念活动并且当日傍晚在瑞金城南竹马岗举行了红军阅兵式和分列式。从此，8月1日正式成为人民军队的建军节。因此，可以说南昌是军旗升起的地方，而瑞金是八一建军节诞生的地方。 —— 军 旗 简 介 —— 军旗，是象征军队或建制的旗帜。中国人民解放军军旗为红色，上缀金黄色的五角星及“八一”两字，表示中国人民解放军自1927年8月1日南昌起义以来经过艰苦卓绝的长期斗争，终于在党的领导下取得了中国革命的伟大胜利。 中国人民解放军军旗的规格（按照总参1951年1月颁布的条令执行）： 军旗可以授予团级以上部队和院校，授旗时可以举行仪式。 军旗主要用于参加典礼、检阅、隆重集会、游行等场合，由掌旗员掌握军旗，左右各有一名护旗兵，位于部队的前列。 中国人民解放军军旗是中华人民共和国武装力量的标志，是中国人民解放军荣誉、勇敢和光荣的象征。它激励全体指战员牢记自己的神圣职责，忠于祖国 ， 忠于人民，忠于党，不惜牺牲自己的生命来捍卫祖国的神圣领土和尊严。 —— 首 个 节 日 —— 八一建军节诞生于1933年，她的第一个节日庆祝活动，是在中央苏区首府——江西瑞金举行的。 1933年6月26日，中共苏区中央局发出《关于“八一”国际反战争斗争日及中国工农红军成立纪念日的决定》。决定指出：“中央革命军事委员会为纪念1927年8月1日的南昌暴动，已确定‘八一’为中国工农红军纪念的日子。” ​ 尔后，中央革命军事委会员针对为什么确定“八一”为建军节作出这样的解释：“1927年8月1日发生了无产阶级政党——共产党领导的南昌暴动，这一暴动是反帝的土地革命的开始，是英勇的工农红军的来源。 1933年8月1日，第一个“八一”建军节庆祝活动在瑞金城南举行。 图片来源网络 
173		 万事销身外，生涯在镜中。 惟将两鬓雪，明日对秋风。 ——（唐）李益《 立秋前一日览镜 》 立 秋 （2015年8月8日 04:01 - 2015年8月23日 18:37） 立秋，是 二十四节气 中的第13个 节气 ，更是 干支历 未月的结束以及申月的起始；时间在 农历 每年七月初一前后（公历8月7-9日之间）。“秋”就是指暑去凉来，意味着 秋天 的开始。到了立秋， 梧桐树 开始落叶，因此有“落叶知秋”的成语。从文字角度来看，“秋”字由 禾 与 火 字组成，是禾谷 成熟 的意思。 秋季 是天气由热转凉，再由凉转寒的过渡性 季节 ，立秋是秋季的第一个节气。 宋时立秋这天宫内要把栽在盆里的梧桐移入殿内，等到“立秋”时辰一到，太史官便高声奏道：“秋来了。”奏毕，梧桐应声落下一两片叶子，以寓报秋之意。 气 候 “立秋”到了，但并不是秋天的气候已经到来了。划分气候季节要根据“候平均温度”，即当地连续5日的平均温度在22℃以下，才算真正秋天的时节。 中国地域辽阔，虽各地气候有差别，但此时大部分地区仍未进入秋天气候，况且每年大热三伏天的末伏还在立秋后第3日。尤其是中国南方此节气内还是夏暑之时，同时由于台风雨季节渐去了，气温更酷热，因而中国医学对从立秋起至秋分前这段日子称之为“长夏”。 秋来最早的黑龙江和新疆北部地区也要到8月中旬入秋，一般年份里，首都北京9月初开始秋风送爽，秦淮一带秋天从9月中旬开始，10月初秋风吹至浙江丽水、江西南昌、湖南衡阳一线，11月上中旬秋的信息才到达雷州半岛，而当秋的脚步到达“天涯海角”的海南崖县时已快到新年元旦了。 习 俗 立秋节 立秋节，也称七月节。时间在公历每年8月7日或8日开始。在周代是日天子亲率三公六卿诸侯大夫，到西郊迎秋，并举行祭祀少嗥、蓐收的仪式。汉代仍承此俗。到了唐代，每逢立秋日，也祭祀五帝。宋代，立秋之日，男女都戴楸叶，以应时序。有以石楠红叶剪刻花瓣簪插鬓边的风俗，也有以秋水吞食小赤豆七粒的风俗，明承宋俗。 清代在立秋节这天，悬秤称人，和立夏日所秤之数相比，以验夏中之肥瘦。民国以来，在广大农村中，在立秋这天的白天或夜晚，有预卜天气凉热之俗。还有以西瓜、四季豆尝新、奠祖的风俗。又有在立秋前一日，陈冰瓜，蒸茄脯，煎香薷饮等风俗。 摸秋 夏历八月十五日，是为中秋节。这天夜里婚后尚未生育的妇女，在小姑或其他女伴的陪同下，到田野瓜架、豆棚下，暗中摸索摘取瓜豆，故名摸秋。俗谓摸南瓜，易生男孩；摸扁豆，易生女孩；摸到白扁豆更吉利，除生女孩外，还是白头到老的好兆头。按照传统风俗，是夜瓜豆任人采摘，田园主人不得责怪。姑嫂归家再迟，家长也不许非难。 秋忙会 秋忙会一般在农历七八月份举行，是为了迎接秋忙而做准备的经营贸易大会。有与庙会活动结合起来举办的，也有单一为了秋忙而举办的贸易大会。其目的是为了交流生产工具，变卖牲口，交换粮食以及生活用品等。 其规模和夏忙会一样，设有骡马市、粮食市、农具生产市、布匹、京广杂货市等。现今把这类集会，都叫做“经济贸易交流大会”。过会期间还有戏剧演出、跑马、耍猴等文艺节目助兴。 贴秋膘 民间流行在立秋这天以悬秤称人，将体重与立夏时对比。因为人到夏天，本就没有什么胃口，饭食清淡简单，两三个月下来，体重大都要减少一点。秋风一起，胃口大开，想吃点好的，增加一点营养，补偿夏天的损失，补的办法就是“贴秋膘”：在立秋这天各种各样的肉，炖肉烤肉红烧肉等等，“以肉贴膘”。 养 生 立秋以后气温由热转凉，人体的消耗也逐渐减少，食欲开始增加。因此，可根据秋季的特点来科学地摄取营养和调整饮食，以补充夏季的消耗，并为越冬做准备。 秋季气候干燥，夜晚虽然凉爽，但白天气温仍较高，所以根据“燥则润之”的原则，应以养阴清热、润燥止渴、清新安神的食品为主，可选用芝麻、蜂蜜、银耳、乳品等具有滋润作用的食物。秋季空气中湿度小，皮肤容易干燥。因此，在整个秋季都应重视机体水分和维生素的摄入。 秋季为人体最适宜进补的季节，以在冬季到来时，减少病毒感染和防止旧病复发。秋季进补应选用“防燥不腻”的平补之品。具有这类作用的食物有茭白、南瓜、莲子、桂圆、黑芝麻、红枣、核桃等。 图片来源网络 
227		匆匆忙忙两天赶回来参加老姐婚礼，刚刚返回帝都，明天继续各种bug！ 
